School,Nickname,City,State,Conference,Type
University of Denver,Pioneers,Denver,Colorado,The Summit League,Private/Non-sectarian
DePaul University,Blue Demons,Chicago,Illinois,Big East Conference,Private/Catholic
University of Detroit Mercy,Titans,Detroit,Michigan,Horizon League,Private/Catholic
Drake University,Bulldogs,Des Moines,Iowa,Missouri Valley Conference[a],Private/Non-sectarian
Drexel University,Dragons,Philadelphia,Pennsylvania,Colonial Athletic Association,Private/Non-sectarian
Duke University,Blue Devils,Durham,North Carolina,Atlantic Coast Conference,Private/Non-sectarian
Duquesne University,Dukes,Pittsburgh,Pennsylvania,Atlantic 10 Conference[d],Private/Catholic
East Carolina University,Pirates and Lady Pirates,Greenville,North Carolina,American Athletic Conference,State
East Tennessee State University,Buccaneers and Lady Buccaneers,Johnson City,Tennessee,Southern Conference,State
Eastern Illinois University,Panthers,Charleston,Illinois,Ohio Valley Conference,State
Eastern Kentucky University,Colonels,Richmond,Kentucky,Ohio Valley Conference,State
Eastern Michigan University,Eagles,Ypsilanti,Michigan,Mid-American Conference,State
Eastern Washington University,Eagles,Cheney,Washington,Big Sky Conference,State
Elon University,Phoenix,Elon,North Carolina,Colonial Athletic Association,Private/Non-sectarian
University of Evansville,Purple Aces,Evansville,Indiana,Missouri Valley Conference,Private/Methodist
Fairfield University,Stags,Fairfield,Connecticut,Metro Atlantic Athletic Conference,Private/Catholic
Fairleigh Dickinson University,Knights,Hackensack,New Jersey,Northeast Conference,Private/Non-sectarian
University of Florida,Gators,Gainesville,Florida,Southeastern Conference,State
Florida A&M University,Rattlers and Lady Rattlers,Tallahassee,Florida,Mid-Eastern Athletic Conference,State
Florida Atlantic University,Owls,Boca Raton,Florida,Conference USA,State
Florida Gulf Coast University,Eagles,Fort Myers,Florida,Atlantic Sun Conference,State
Florida International University,Panthers,Miami,Florida,Conference USA,State
Florida State University,Seminoles,Tallahassee,Florida,Atlantic Coast Conference,State
Fordham University,Rams,Bronx,New York,Atlantic 10 Conference[e],Private/Catholic
Furman University,Paladins and Lady Paladins,Greenville,South Carolina,Southern Conference,Private/Non-sectarian
Gardner–Webb University,Runnin' Bulldogs,Boiling Springs,North Carolina,Big South Conference,Private/Baptist
George Mason University,Patriots,Fairfax,Virginia,Atlantic 10 Conference,State
George Washington University,Colonials,Washington,District of Columbia,Atlantic 10 Conference,Private/Non-sectarian
Georgetown University,Hoyas,Washington,District of Columbia,Big East Conference[e],Private/Catholic
University of Georgia,Bulldogs and Lady Bulldogs[A 7],Athens,Georgia,Southeastern Conference,State
